PeakID (cmd=annotatePeaks.pl overlapped_H3K9me3.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K9me3_i71_peak_2590	chr18	74225193	74226220	+	37	NA	Intergenic	Intergenic	5003	ENSMUST00000236679.1	ENSMUST00000236679	ENSMUST00000236679						NA
H3K9me3_i71_peak_1835	chr16	15458693	15459405	+	37	NA	Intergenic	Intergenic	7045	ENSMUST00000230636.1	ENSMUST00000230636	ENSMUST00000230636						NA
H3K9me3_i71_peak_3566	chr4	156341943	156342193	+	37	NA	Intergenic	Intergenic	-2132	ENSMUST00000096794.5	ENSMUST00000096794	ENSMUST00000096794						NA
H3K9me3_i71_peak_3701	chr5	104517315	104517592	+	37	NA	exon (ENSMUST00000096452.5, exon 2 of 2)	-exon (ENSMUST00000096452.5, exon 2 of 2)	-8282	ENSMUST00000181620.2	ENSMUST00000181620	ENSMUST00000181620						NA
H3K9me3_i71_peak_1192	chr12	112061056	112062773	+	37	NA	intron (ENSMUST00000192125.5, intron 29 of 31)	-intron (ENSMUST00000079009.10, intron 33 of 35)	-1240	ENSMUST00000193630.1	ENSMUST00000193630	ENSMUST00000193630						NA
H3K9me3_i71_peak_3060	chr3	31639884	31640333	+	37	NA	Intergenic	Intergenic	47734	ENSMUST00000191934.5	ENSMUST00000191934	ENSMUST00000191934						NA
H3K9me3_i71_peak_365	chr10	7098504	7098704	+	37	NA	Intergenic	Intergenic	36902	ENSMUST00000150282.1	ENSMUST00000150282	ENSMUST00000150282						NA
H3K9me3_i71_peak_546	chr10	82113345	82114159	+	37	NA	Intergenic	Intergenic	-14261	ENSMUST00000201286.3	ENSMUST00000201286	ENSMUST00000201286						NA
H3K9me3_i71_peak_1520	chr13	77768138	77768533	+	37	NA	intron (ENSMUST00000224888.1, intron 3 of 5)	-intron (ENSMUST00000091459.11, intron 3 of 9)	59551	ENSMUST00000224013.1	ENSMUST00000224013	ENSMUST00000224013						NA
H3K9me3_i71_peak_3696	chr5	100724927	100725150	+	37	NA	Intergenic	Intergenic	-5322	ENSMUST00000045617.14	ENSMUST00000045617	ENSMUST00000045617						NA
H3K9me3_i71_peak_1866	chr16	44571337	44571629	+	37	NA	Intergenic	Intergenic	-12586	ENSMUST00000114634.2	ENSMUST00000114634	ENSMUST00000114634						NA
H3K9me3_i71_peak_2353	chr18	6330319	6331688	+	37	NA	Intergenic	Intergenic	-1629	ENSMUST00000097682.3	ENSMUST00000097682	ENSMUST00000097682						NA
H3K9me3_i71_peak_3239	chr4	6026147	6026580	+	37	NA	intron (ENSMUST00000126564.7, intron 4 of 4)	-intron (ENSMUST00000126564.7, intron 4 of 4)	-43511	ENSMUST00000121336.1	ENSMUST00000121336	ENSMUST00000121336						NA
H3K9me3_i71_peak_3238	chr4	6024483	6025496	+	37	NA	intron (ENSMUST00000126564.7, intron 4 of 4)	-intron (ENSMUST00000126564.7, intron 4 of 4)	-44885	ENSMUST00000121336.1	ENSMUST00000121336	ENSMUST00000121336						NA
H3K9me3_i71_peak_639	chr10	106546225	106546439	+	37	NA	intron (ENSMUST00000217854.1, intron 2 of 31)	-intron (ENSMUST00000029404.16, intron 2 of 31)	43595	ENSMUST00000204688.1	ENSMUST00000204688	ENSMUST00000204688						NA
H3K9me3_i71_peak_5075	chr9	76429159	76429804	+	37	NA	Intergenic	Intergenic	-105625	ENSMUST00000184757.1	ENSMUST00000184757	ENSMUST00000184757						NA
H3K9me3_i71_peak_4279	chr7	24096532	24098577	+	36	NA	exon (ENSMUST00000206482.1, exon 1 of 2)	-exon (ENSMUST00000206482.1, exon 1 of 2)	288	ENSMUST00000206482.1	ENSMUST00000206482	ENSMUST00000206482						NA
H3K9me3_i71_peak_1853	chr16	21304779	21305211	+	36	NA	Intergenic	Intergenic	-8123	ENSMUST00000181476.2	ENSMUST00000181476	ENSMUST00000181476						NA
H3K9me3_i71_peak_4711	chr8	59953056	59953283	+	36	NA	Intergenic	Intergenic	-126421	ENSMUST00000083793.1	ENSMUST00000083793	ENSMUST00000083793						NA
H3K9me3_i71_peak_3226	chr3	151927162	151927361	+	36	NA	promoter-TSS (ENSMUST00000157372.1)	-promoter-TSS (ENSMUST00000157372.1)	-852	ENSMUST00000157372.1	ENSMUST00000157372	ENSMUST00000157372						NA
H3K9me3_i71_peak_3385	chr4	145634943	145635770	+	36	NA	Intergenic	Intergenic	2852	ENSMUST00000120010.1	ENSMUST00000120010	ENSMUST00000120010						NA
H3K9me3_i71_peak_3042	chr3	21504512	21506214	+	36	NA	Intergenic	Intergenic	-98447	ENSMUST00000199468.1	ENSMUST00000199468	ENSMUST00000199468						NA
H3K9me3_i71_peak_2118	chr17	22783968	22784167	+	36	NA	intron (ENSMUST00000233975.1, intron 1 of 1)	-intron (ENSMUST00000233975.1, intron 1 of 1)	23669	ENSMUST00000233975.1	ENSMUST00000233975	ENSMUST00000233975						NA
H3K9me3_i71_peak_4743	chr8	69371850	69373831	+	36	NA	exon (ENSMUST00000072427.5, exon 2 of 2)	-exon (ENSMUST00000072427.5, exon 2 of 2)	2599	ENSMUST00000072427.5	ENSMUST00000072427	ENSMUST00000072427						NA
H3K9me3_i71_peak_54	chr1	21360805	21361006	+	36	NA	Intergenic	Intergenic	-3898	ENSMUST00000137146.1	ENSMUST00000137146	ENSMUST00000137146						NA
H3K9me3_i71_peak_680	chr10	122840317	122841712	+	36	NA	intron (ENSMUST00000162853.7, intron 4 of 5)	-intron (ENSMUST00000067918.11, intron 4 of 9)	29567	ENSMUST00000161371.1	ENSMUST00000161371	ENSMUST00000161371						NA
H3K9me3_i71_peak_4618	chr8	9252498	9252748	+	36	NA	intron (ENSMUST00000208933.1, intron 1 of 3)	-intron (ENSMUST00000110969.4, intron 1 of 2)	-35213	ENSMUST00000208677.1	ENSMUST00000208677	ENSMUST00000208677						NA
H3K9me3_i71_peak_633	chr10	96918574	96919663	+	36	NA	intron (ENSMUST00000219918.1, intron 4 of 4)	-intron (ENSMUST00000219918.1, intron 4 of 4)	39753	ENSMUST00000219918.1	ENSMUST00000219918	ENSMUST00000219918						NA
H3K9me3_i71_peak_1202	chr12	116054293	116054639	+	36	NA	intron (ENSMUST00000183125.1, intron 1 of 2)	-intron (ENSMUST00000073551.5, intron 1 of 2)	6637	ENSMUST00000182883.1	ENSMUST00000182883	ENSMUST00000182883						NA
H3K9me3_i71_peak_3358	chr4	142512267	142512761	+	36	NA	Intergenic	Intergenic	-166039	ENSMUST00000125582.1	ENSMUST00000125582	ENSMUST00000125582						NA
H3K9me3_i71_peak_827-2	chr11	63200038	63201179	+	36	NA	Intergenic	Intergenic	26694	ENSMUST00000123420.1	ENSMUST00000123420	ENSMUST00000123420						NA
H3K9me3_i71_peak_83	chr1	35119085	35119948	+	36	NA	Intergenic	Intergenic	59568	ENSMUST00000104043.1	ENSMUST00000104043	ENSMUST00000104043						NA
H3K9me3_i71_peak_4097	chr6	108033408	108033889	+	36	NA	Intergenic	Intergenic	-31397	ENSMUST00000049246.6	ENSMUST00000049246	ENSMUST00000049246						NA
H3K9me3_i71_peak_84	chr1	35308737	35309054	+	36	NA	Intergenic	Intergenic	-129811	ENSMUST00000104043.1	ENSMUST00000104043	ENSMUST00000104043						NA
H3K9me3_i71_peak_1445	chr13	67259917	67260201	+	36	NA	intron (ENSMUST00000225772.1, intron 2 of 3)	-intron (ENSMUST00000045969.7, intron 2 of 3)	8405	ENSMUST00000223990.1	ENSMUST00000223990	ENSMUST00000223990						NA
H3K9me3_i71_peak_342	chr1	189507615	189507909	+	36	NA	Intergenic	Intergenic	-105489	ENSMUST00000180044.7	ENSMUST00000180044	ENSMUST00000180044						NA
H3K9me3_i71_peak_2612	chr18	74409775	74410399	+	36	NA	Intergenic	Intergenic	9479	ENSMUST00000238045.1	ENSMUST00000238045	ENSMUST00000238045						NA
H3K9me3_i71_peak_2665	chr19	56846811	56847455	+	36	NA	intron (ENSMUST00000121249.7, intron 11 of 25)	-intron (ENSMUST00000078723.10, intron 11 of 25)	16421	ENSMUST00000111604.1	ENSMUST00000111604	ENSMUST00000111604						NA
H3K9me3_i71_peak_1039	chr12	20642992	20643281	+	36	NA	intron (ENSMUST00000223281.1, intron 1 of 1)	-intron (ENSMUST00000223281.1, intron 1 of 1)	-21381	ENSMUST00000231814.1	ENSMUST00000231814	ENSMUST00000231814						NA
H3K9me3_i71_peak_4130	chr6	124607881	124609308	+	36	NA	Intergenic	Intergenic	27491	ENSMUST00000218020.1	ENSMUST00000218020	ENSMUST00000218020						NA
H3K9me3_i71_peak_279	chr1	171068009	171068336	+	36	NA	Intergenic	Intergenic	-3237	ENSMUST00000164179.1	ENSMUST00000164179	ENSMUST00000164179						NA
H3K9me3_i71_peak_3538	chr4	152614084	152614309	+	36	NA	Intergenic	Intergenic	63807	ENSMUST00000118685.1	ENSMUST00000118685	ENSMUST00000118685						NA
H3K9me3_i71_peak_4428	chr7	41488717	41489001	+	36	NA	TTS (ENSMUST00000205995.1)	-TTS (ENSMUST00000205995.1)	-1492	ENSMUST00000119135.1	ENSMUST00000119135	ENSMUST00000119135						NA
H3K9me3_i71_peak_889	chr11	113445906	113446616	+	36	NA	intron (ENSMUST00000125890.7, intron 5 of 5)	-intron (ENSMUST00000042657.15, intron 6 of 10)	-21716	ENSMUST00000105048.2	ENSMUST00000105048	ENSMUST00000105048						NA
H3K9me3_i71_peak_4399	chr7	39467435	39468026	+	36	NA	intron (ENSMUST00000061201.11, intron 2 of 2)	-intron (ENSMUST00000061201.11, intron 2 of 2)	7914	ENSMUST00000061201.11	ENSMUST00000061201	ENSMUST00000061201						NA
H3K9me3_i71_peak_848	chr11	82928876	82929471	+	36	NA	intron (ENSMUST00000164945.2, intron 12 of 19)	-intron (ENSMUST00000018989.13, intron 12 of 19)	214	ENSMUST00000125499.1	ENSMUST00000125499	ENSMUST00000125499						NA
H3K9me3_i71_peak_2897	chr2	150338391	150338632	+	36	NA	intron (ENSMUST00000133235.2, intron 2 of 3)	-intron (ENSMUST00000051153.5, intron 3 of 3)	14809	ENSMUST00000133235.2	ENSMUST00000133235	ENSMUST00000133235						NA
H3K9me3_i71_peak_4411	chr7	41371517	41372444	+	36	NA	TTS (ENSMUST00000071804.9)	-TTS (ENSMUST00000071804.9)	21280	ENSMUST00000071804.9	ENSMUST00000071804	ENSMUST00000071804						NA
H3K9me3_i71_peak_1848	chr16	21003123	21003322	+	36	NA	Intergenic	Intergenic	-18106	ENSMUST00000231537.1	ENSMUST00000231537	ENSMUST00000231537						NA
H3K9me3_i71_peak_2882	chr2	150257035	150257324	+	36	NA	promoter-TSS (ENSMUST00000109922.1)	-promoter-TSS (ENSMUST00000109922.1)	-338	ENSMUST00000109922.1	ENSMUST00000109922	ENSMUST00000109922						NA
H3K9me3_i71_peak_1360	chr13	62644344	62644626	+	36	NA	Intergenic	Intergenic	-1233	ENSMUST00000223394.1	ENSMUST00000223394	ENSMUST00000223394						NA
H3K9me3_i71_peak_1630	chr14	59372753	59372957	+	36	NA	Intergenic	Intergenic	-7385	ENSMUST00000095157.10	ENSMUST00000095157	ENSMUST00000095157						NA
H3K9me3_i71_peak_4965	chr9	11788844	11789219	+	36	NA	Intergenic	Intergenic	189218	ENSMUST00000217391.1	ENSMUST00000217391	ENSMUST00000217391						NA
H3K9me3_i71_peak_1274	chr13	45126863	45127208	+	36	NA	Intergenic	Intergenic	20142	ENSMUST00000221244.1	ENSMUST00000221244	ENSMUST00000221244						NA
H3K9me3_i71_peak_4450	chr7	42581785	42582273	+	36	NA	intron (ENSMUST00000173283.1, intron 3 of 3)	-intron (ENSMUST00000173283.1, intron 3 of 3)	-3441	ENSMUST00000179470.1	ENSMUST00000179470	ENSMUST00000179470						NA
H3K9me3_i71_peak_3651	chr5	64797561	64797811	+	36	NA	intron (ENSMUST00000180912.5, intron 1 of 4)	-intron (ENSMUST00000180912.5, intron 1 of 4)	-5702	ENSMUST00000165536.7	ENSMUST00000165536	ENSMUST00000165536						NA
H3K9me3_i71_peak_1387	chr13	65289169	65290011	+	36	NA	exon (ENSMUST00000221365.1, exon 1 of 1)	-exon (ENSMUST00000221365.1, exon 1 of 1)	137	ENSMUST00000221365.1	ENSMUST00000221365	ENSMUST00000221365						NA
H3K9me3_i71_peak_1865	chr16	37060321	37062129	+	36	NA	exon (ENSMUST00000054034.6, exon 16 of 30)	-exon (ENSMUST00000054034.6, exon 16 of 30)	20789	ENSMUST00000182622.1	ENSMUST00000182622	ENSMUST00000182622						NA
H3K9me3_i71_peak_301	chr1	178227215	178229082	+	36	NA	intron (ENSMUST00000159284.1, intron 4 of 7)	-intron (ENSMUST00000027783.13, intron 1 of 4)	-27955	ENSMUST00000069568.3	ENSMUST00000069568	ENSMUST00000069568						NA
H3K9me3_i71_peak_1794	chr15	97637905	97638619	+	36	NA	Intergenic	Intergenic	42091	ENSMUST00000229109.1	ENSMUST00000229109	ENSMUST00000229109						NA
H3K9me3_i71_peak_4331	chr7	29828181	29828924	+	36	NA	exon (ENSMUST00000032796.13, exon 5 of 5)	-exon (ENSMUST00000032796.13, exon 5 of 5)	9561	ENSMUST00000207328.1	ENSMUST00000207328	ENSMUST00000207328						NA
H3K9me3_i71_peak_1886	chr16	89941652	89941978	+	36	NA	intron (ENSMUST00000163370.7, intron 2 of 27)	-intron (ENSMUST00000002588.10, intron 2 of 27)	14292	ENSMUST00000124433.7	ENSMUST00000124433	ENSMUST00000124433						NA
H3K9me3_i71_peak_4907	chr8	124126730	124127158	+	36	NA	intron (ENSMUST00000127664.1, intron 1 of 15)	-intron (ENSMUST00000127664.1, intron 1 of 15)	-33129	ENSMUST00000212467.1	ENSMUST00000212467	ENSMUST00000212467						NA
H3K9me3_i71_peak_4279-2	chr7	24096532	24098577	+	36	NA	exon (ENSMUST00000206482.1, exon 1 of 2)	-exon (ENSMUST00000206482.1, exon 1 of 2)	288	ENSMUST00000206482.1	ENSMUST00000206482	ENSMUST00000206482						NA
H3K9me3_i71_peak_2483	chr18	37555052	37555475	+	36	NA	intron (ENSMUST00000193984.1, intron 1 of 2)	-intron (ENSMUST00000115661.4, intron 1 of 3)	36904	ENSMUST00000097609.2	ENSMUST00000097609	ENSMUST00000097609						NA
H3K9me3_i71_peak_45	chr1	15970038	15970241	+	36	NA	Intergenic	Intergenic	-77417	ENSMUST00000040695.4	ENSMUST00000040695	ENSMUST00000040695						NA
H3K9me3_i71_peak_1908	chr16	94180415	94180907	+	36	NA	intron (ENSMUST00000228910.1, intron 2 of 6)	-intron (ENSMUST00000099512.2, intron 5 of 9)	-5661	ENSMUST00000227618.1	ENSMUST00000227618	ENSMUST00000227618						NA
H3K9me3_i71_peak_4323	chr7	29690399	29691537	+	36	NA	Intergenic	Intergenic	-33692	ENSMUST00000083451.1	ENSMUST00000083451	ENSMUST00000083451						NA
H3K9me3_i71_peak_888	chr11	113445393	113445599	+	36	NA	intron (ENSMUST00000125890.7, intron 5 of 5)	-intron (ENSMUST00000042657.15, intron 6 of 10)	-22481	ENSMUST00000105048.2	ENSMUST00000105048	ENSMUST00000105048						NA
H3K9me3_i71_peak_542	chr10	82104288	82104516	+	36	NA	intron (ENSMUST00000220287.1, intron 1 of 3)	-intron (ENSMUST00000220287.1, intron 1 of 3)	21049	ENSMUST00000220287.1	ENSMUST00000220287	ENSMUST00000220287						NA
H3K9me3_i71_peak_260	chr1	163730358	163730654	+	36	NA	exon (ENSMUST00000161177.1, exon 1 of 1)	-exon (ENSMUST00000161177.1, exon 1 of 1)	937	ENSMUST00000161177.1	ENSMUST00000161177	ENSMUST00000161177						NA
H3K9me3_i71_peak_3926	chr5	138601227	138601856	+	36	NA	Intergenic	Intergenic	-5158	ENSMUST00000175175.1	ENSMUST00000175175	ENSMUST00000175175						NA
H3K9me3_i71_peak_2767	chr2	76715281	76716016	+	36	NA	exon (ENSMUST00000011934.12, exon 183 of 191)	-exon (ENSMUST00000011934.12, exon 183 of 191)	-7128	ENSMUST00000156809.1	ENSMUST00000156809	ENSMUST00000156809						NA
H3K9me3_i71_peak_2312	chr17	85406848	85407376	+	36	NA	intron (ENSMUST00000095188.6, intron 7 of 10)	-intron (ENSMUST00000095188.6, intron 7 of 10)	-91521	ENSMUST00000181130.1	ENSMUST00000181130	ENSMUST00000181130						NA
H3K9me3_i71_peak_469	chr10	60629153	60629596	+	36	NA	exon (ENSMUST00000153677.1, exon 3 of 3)	-exon (ENSMUST00000153677.1, exon 3 of 3)	23659	ENSMUST00000153677.1	ENSMUST00000153677	ENSMUST00000153677						NA
H3K9me3_i71_peak_3280	chr4	62188574	62189351	+	36	NA	TTS (ENSMUST00000068822.3)	-TTS (ENSMUST00000068822.3)	18927	ENSMUST00000220873.1	ENSMUST00000220873	ENSMUST00000220873						NA
H3K9me3_i71_peak_825	chr11	62781745	62782062	+	36	NA	intron (ENSMUST00000108705.7, intron 5 of 5)	-intron (ENSMUST00000054654.12, intron 5 of 5)	2248	ENSMUST00000149230.1	ENSMUST00000149230	ENSMUST00000149230						NA
H3K9me3_i71_peak_2666	chr19	56849002	56849282	+	36	NA	intron (ENSMUST00000121249.7, intron 13 of 25)	-intron (ENSMUST00000078723.10, intron 13 of 25)	18430	ENSMUST00000111604.1	ENSMUST00000111604	ENSMUST00000111604						NA
H3K9me3_i71_peak_5048	chr9	46578507	46579578	+	36	NA	Intergenic	Intergenic	16068	ENSMUST00000104195.1	ENSMUST00000104195	ENSMUST00000104195						NA
H3K9me3_i71_peak_1336	chr13	62174300	62174625	+	36	NA	intron (ENSMUST00000222809.1, intron 1 of 3)	-intron (ENSMUST00000221542.1, intron 1 of 4)	23292	ENSMUST00000221857.1	ENSMUST00000221857	ENSMUST00000221857						NA
H3K9me3_i71_peak_3094	chr3	50536534	50536733	+	36	NA	intron (ENSMUST00000194629.1, intron 4 of 4)	-intron (ENSMUST00000194629.1, intron 4 of 4)	39884	ENSMUST00000192543.1	ENSMUST00000192543	ENSMUST00000192543						NA
H3K9me3_i71_peak_4449	chr7	42579320	42580541	+	36	NA	exon (ENSMUST00000173283.1, exon 4 of 4)	-exon (ENSMUST00000173283.1, exon 4 of 4)	-1342	ENSMUST00000179470.1	ENSMUST00000179470	ENSMUST00000179470						NA
H3K9me3_i71_peak_1609	chr14	29252999	29253287	+	36	NA	intron (ENSMUST00000223940.1, intron 2 of 3)	-intron (ENSMUST00000022567.8, intron 11 of 37)	-17144	ENSMUST00000225833.1	ENSMUST00000225833	ENSMUST00000225833						NA
H3K9me3_i71_peak_3782	chr5	109109459	109110262	+	36	NA	Intergenic	Intergenic	-11910	ENSMUST00000095922.4	ENSMUST00000095922	ENSMUST00000095922						NA
H3K9me3_i71_peak_804	chr11	52824449	52824734	+	36	NA	intron (ENSMUST00000036796.7, intron 3 of 15)	-intron (ENSMUST00000036796.7, intron 3 of 15)	59957	ENSMUST00000036796.7	ENSMUST00000036796	ENSMUST00000036796						NA
H3K9me3_i71_peak_233	chr1	134260317	134260852	+	36	NA	Intergenic	Intergenic	20407	ENSMUST00000122560.1	ENSMUST00000122560	ENSMUST00000122560						NA
H3K9me3_i71_peak_4232	chr7	12865937	12866465	+	36	NA	intron (ENSMUST00000210319.1, intron 4 of 7)	-intron (ENSMUST00000210319.1, intron 4 of 7)	2382	ENSMUST00000210319.1	ENSMUST00000210319	ENSMUST00000210319						NA
H3K9me3_i71_peak_1504	chr13	74578394	74579181	+	36	NA	TTS (ENSMUST00000221389.1)	-TTS (ENSMUST00000221389.1)	-8232	ENSMUST00000221881.1	ENSMUST00000221881	ENSMUST00000221881						NA
H3K9me3_i71_peak_3641	chr5	52575857	52576273	+	36	NA	Intergenic	Intergenic	-6009	ENSMUST00000177881.2	ENSMUST00000177881	ENSMUST00000177881						NA
H3K9me3_i71_peak_1475	chr13	70352983	70353541	+	36	NA	Intergenic	Intergenic	69519	ENSMUST00000220989.1	ENSMUST00000220989	ENSMUST00000220989						NA
H3K9me3_i71_peak_1106	chr12	29189686	29189890	+	36	NA	intron (ENSMUST00000220554.1, intron 6 of 7)	-intron (ENSMUST00000220554.1, intron 6 of 7)	47859	ENSMUST00000222225.1	ENSMUST00000222225	ENSMUST00000222225						NA
H3K9me3_i71_peak_4535	chr7	62662722	62663131	+	36	NA	Intergenic	Intergenic	21760	ENSMUST00000207454.1	ENSMUST00000207454	ENSMUST00000207454						NA
H3K9me3_i71_peak_2277	chr17	85238953	85239338	+	36	NA	intron (ENSMUST00000095188.6, intron 3 of 10)	-intron (ENSMUST00000095188.6, intron 3 of 10)	147062	ENSMUST00000234501.1	ENSMUST00000234501	ENSMUST00000234501						NA
H3K9me3_i71_peak_1367	chr13	62772574	62773797	+	36	NA	TTS (ENSMUST00000167516.2)	-TTS (ENSMUST00000167516.2)	3904	ENSMUST00000167516.2	ENSMUST00000167516	ENSMUST00000167516						NA
H3K9me3_i71_peak_1718	chr15	37051901	37052124	+	36	NA	Intergenic	Intergenic	-44239	ENSMUST00000226671.1	ENSMUST00000226671	ENSMUST00000226671						NA
H3K9me3_i71_peak_4969	chr9	12443671	12443906	+	36	NA	Intergenic	Intergenic	209794	ENSMUST00000217033.1	ENSMUST00000217033	ENSMUST00000217033						NA
H3K9me3_i71_peak_997	chr12	18660601	18660812	+	36	NA	Intergenic	Intergenic	12492	ENSMUST00000232086.1	ENSMUST00000232086	ENSMUST00000232086						NA
H3K9me3_i71_peak_3570	chr4_JH584292_random	13907	14262	+	36	NA	Intergenic	Intergenic	10511	ENSMUST00000178970.7	ENSMUST00000178970	ENSMUST00000178970						NA
H3K9me3_i71_peak_827	chr11	63200038	63201179	+	36	NA	Intergenic	Intergenic	26694	ENSMUST00000123420.1	ENSMUST00000123420	ENSMUST00000123420						NA
H3K9me3_i71_peak_691	chr10	126461293	126461737	+	36	NA	Intergenic	Intergenic	89540	ENSMUST00000218075.1	ENSMUST00000218075	ENSMUST00000218075						NA
H3K9me3_i71_peak_5180	chr9	122939313	122940123	+	36	NA	TTS (ENSMUST00000214730.1)	-TTS (ENSMUST00000214730.1)	761	ENSMUST00000214730.1	ENSMUST00000214730	ENSMUST00000214730						NA
H3K9me3_i71_peak_633-2	chr10	96918574	96919663	+	36	NA	intron (ENSMUST00000219918.1, intron 4 of 4)	-intron (ENSMUST00000219918.1, intron 4 of 4)	39753	ENSMUST00000219918.1	ENSMUST00000219918	ENSMUST00000219918						NA
H3K9me3_i71_peak_2424	chr18	36895271	36895614	+	35	NA	Intergenic	Intergenic	-24954	ENSMUST00000180647.1	ENSMUST00000180647	ENSMUST00000180647						NA
H3K9me3_i71_peak_2861	chr2	149301784	149302071	+	35	NA	Intergenic	Intergenic	32862	ENSMUST00000117188.1	ENSMUST00000117188	ENSMUST00000117188						NA
H3K9me3_i71_peak_1834	chr16	15179584	15180266	+	35	NA	Intergenic	Intergenic	37403	ENSMUST00000091759.2	ENSMUST00000091759	ENSMUST00000091759						NA
H3K9me3_i71_peak_2082	chr17	22370515	22371118	+	35	NA	intron (ENSMUST00000149699.7, intron 1 of 2)	-intron (ENSMUST00000072477.10, intron 1 of 3)	9294	ENSMUST00000121315.1	ENSMUST00000121315	ENSMUST00000121315						NA
H3K9me3_i71_peak_2091	chr17	22465697	22466161	+	35	NA	Intergenic	Intergenic	14806	ENSMUST00000167740.1	ENSMUST00000167740	ENSMUST00000167740						NA
H3K9me3_i71_peak_188	chr1	110671300	110671592	+	35	NA	Intergenic	Intergenic	71425	ENSMUST00000189583.1	ENSMUST00000189583	ENSMUST00000189583						NA
H3K9me3_i71_peak_4818-2	chr8	108947603	108950003	+	35	NA	exon (ENSMUST00000043896.9, exon 9 of 10)	-exon (ENSMUST00000043896.9, exon 9 of 10)	11943	ENSMUST00000175500.1	ENSMUST00000175500	ENSMUST00000175500						NA
H3K9me3_i71_peak_2561	chr18	69473072	69473740	+	35	NA	intron (ENSMUST00000203002.3, intron 5 of 6)	-intron (ENSMUST00000066717.11, intron 6 of 20)	-25983	ENSMUST00000201181.3	ENSMUST00000201181	ENSMUST00000201181						NA
H3K9me3_i71_peak_2880	chr2	150248210	150248689	+	35	NA	Intergenic	Intergenic	7142	ENSMUST00000063463.5	ENSMUST00000063463	ENSMUST00000063463						NA
H3K9me3_i71_peak_4435	chr7	41648893	41650193	+	35	NA	TTS (ENSMUST00000140964.7)	-TTS (ENSMUST00000140964.7)	1959	ENSMUST00000170770.1	ENSMUST00000170770	ENSMUST00000170770						NA
H3K9me3_i71_peak_1984	chr17	17187073	17187417	+	35	NA	Intergenic	Intergenic	-47627	ENSMUST00000231355.1	ENSMUST00000231355	ENSMUST00000231355						NA
H3K9me3_i71_peak_2149	chr17	33027309	33027736	+	35	NA	intron (ENSMUST00000087654.4, intron 1 of 3)	-intron (ENSMUST00000087654.4, intron 1 of 3)	5646	ENSMUST00000124465.1	ENSMUST00000124465	ENSMUST00000124465						NA
H3K9me3_i71_peak_4781	chr8	82748575	82749162	+	35	NA	intron (ENSMUST00000211321.1, intron 1 of 2)	-intron (ENSMUST00000211321.1, intron 1 of 2)	1252	ENSMUST00000211321.1	ENSMUST00000211321	ENSMUST00000211321						NA
H3K9me3_i71_peak_4241	chr7	14787201	14787562	+	35	NA	Intergenic	Intergenic	8712	ENSMUST00000083043.1	ENSMUST00000083043	ENSMUST00000083043						NA
H3K9me3_i71_peak_2155	chr17	33304954	33305387	+	35	NA	exon (ENSMUST00000099414.4, exon 4 of 4)	-exon (ENSMUST00000099414.4, exon 4 of 4)	575	ENSMUST00000182230.2	ENSMUST00000182230	ENSMUST00000182230						NA
H3K9me3_i71_peak_616	chr10	87310897	87311153	+	35	NA	Intergenic	Intergenic	20292	ENSMUST00000193976.1	ENSMUST00000193976	ENSMUST00000193976						NA
H3K9me3_i71_peak_4394	chr7	35275379	35275950	+	35	NA	promoter-TSS (ENSMUST00000238407.1)	-promoter-TSS (ENSMUST00000238407.1)	-131	ENSMUST00000238407.1	ENSMUST00000238407	ENSMUST00000238407						NA
H3K9me3_i71_peak_1530	chr13	83686401	83686701	+	35	NA	promoter-TSS (ENSMUST00000224411.1)	-promoter-TSS (ENSMUST00000224411.1)	-671	ENSMUST00000224411.1	ENSMUST00000224411	ENSMUST00000224411						NA
H3K9me3_i71_peak_5158	chr9	120623716	120624603	+	35	NA	Intergenic	Intergenic	-3860	ENSMUST00000214759.1	ENSMUST00000214759	ENSMUST00000214759						NA
H3K9me3_i71_peak_1796	chr15	97645115	97645385	+	35	NA	Intergenic	Intergenic	35103	ENSMUST00000229109.1	ENSMUST00000229109	ENSMUST00000229109						NA
H3K9me3_i71_peak_2743	chr2	52797144	52797849	+	35	NA	Intergenic	Intergenic	-55215	ENSMUST00000127316.7	ENSMUST00000127316	ENSMUST00000127316						NA
H3K9me3_i71_peak_1173	chr12	107969784	107969984	+	35	NA	intron (ENSMUST00000066060.10, intron 2 of 3)	-intron (ENSMUST00000066060.10, intron 2 of 3)	33530	ENSMUST00000109891.2	ENSMUST00000109891	ENSMUST00000109891						NA
H3K9me3_i71_peak_4903	chr8	124117654	124117939	+	35	NA	intron (ENSMUST00000127664.1, intron 1 of 15)	-intron (ENSMUST00000127664.1, intron 1 of 15)	-42277	ENSMUST00000212467.1	ENSMUST00000212467	ENSMUST00000212467						NA
H3K9me3_i71_peak_63	chr1	27735350	27735837	+	35	NA	Intergenic	Intergenic	-148453	ENSMUST00000185409.1	ENSMUST00000185409	ENSMUST00000185409						NA
