PeakID (cmd=annotatePeaks.pl overlapped_H3K27ac.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K27ac_i73_peak_4481	chr17	83513910	83514594	+	41	NA	promoter-TSS (ENSMUST00000025095.8)	-promoter-TSS (ENSMUST00000025095.8)	78	ENSMUST00000167741.8	ENSMUST00000167741	ENSMUST00000167741						NA
H3K27ac_i73_peak_6915	chr4	133049741	133050805	+	41	NA	intron (ENSMUST00000105914.1, intron 1 of 5)	-intron (ENSMUST00000044521.13, intron 1 of 5)	10780	ENSMUST00000105914.1	ENSMUST00000105914	ENSMUST00000105914						NA
H3K27ac_i73_peak_6200	chr3	86998826	86999247	+	41	NA	promoter-TSS (ENSMUST00000132131.1)	-promoter-TSS (ENSMUST00000132131.1)	-82	ENSMUST00000132131.1	ENSMUST00000132131	ENSMUST00000132131						NA
H3K27ac_i73_peak_8270	chr6	124930665	124930951	+	41	NA	promoter-TSS (ENSMUST00000032214.13)	-promoter-TSS (ENSMUST00000032214.13)	-578	ENSMUST00000204177.2	ENSMUST00000204177	ENSMUST00000204177						NA
H3K27ac_i73_peak_1476	chr11	60942322	60942774	+	41	NA	TTS (ENSMUST00000137739.1)	-TTS (ENSMUST00000137739.1)	668	ENSMUST00000126043.1	ENSMUST00000126043	ENSMUST00000126043						NA
H3K27ac_i73_peak_7220	chr5	28031865	28032200	+	41	NA	TTS (ENSMUST00000196656.1)	-TTS (ENSMUST00000196656.1)	4374	ENSMUST00000196656.1	ENSMUST00000196656	ENSMUST00000196656						NA
H3K27ac_i73_peak_9078	chr7	127966969	127967391	+	41	NA	promoter-TSS (ENSMUST00000077609.11)	-promoter-TSS (ENSMUST00000077609.11)	-277	ENSMUST00000106251.9	ENSMUST00000106251	ENSMUST00000106251						NA
H3K27ac_i73_peak_8376	chr6	146907317	146907693	+	41	NA	intron (ENSMUST00000111623.8, intron 1 of 27)	-intron (ENSMUST00000016631.13, intron 1 of 26)	18916	ENSMUST00000111623.8	ENSMUST00000111623	ENSMUST00000111623						NA
H3K27ac_i73_peak_8993	chr7	114768905	114769405	+	41	NA	exon (ENSMUST00000139670.1, exon 2 of 2)	-exon (ENSMUST00000139670.1, exon 2 of 2)	381	ENSMUST00000151464.1	ENSMUST00000151464	ENSMUST00000151464						NA
H3K27ac_i73_peak_9164	chr7	142397908	142398494	+	41	NA	Intergenic	Intergenic	-10163	ENSMUST00000151120.8	ENSMUST00000151120	ENSMUST00000151120						NA
H3K27ac_i73_peak_247	chr1	91299024	91299296	+	41	NA	promoter-TSS (ENSMUST00000145843.2)	-promoter-TSS (ENSMUST00000145843.2)	733	ENSMUST00000142802.1	ENSMUST00000142802	ENSMUST00000142802						NA
H3K27ac_i73_peak_4629	chr18	12859832	12860212	+	41	NA	exon (ENSMUST00000124570.2, exon 1 of 10)	-exon (ENSMUST00000124570.2, exon 1 of 10)	229	ENSMUST00000124570.2	ENSMUST00000124570	ENSMUST00000124570						NA
H3K27ac_i73_peak_6537	chr4	35096599	35097321	+	41	NA	intron (ENSMUST00000155725.1, intron 1 of 1)	-intron (ENSMUST00000102975.9, intron 1 of 3)	-55096	ENSMUST00000058595.6	ENSMUST00000058595	ENSMUST00000058595						NA
H3K27ac_i73_peak_4115-2	chr17	17837937	17838961	+	41	NA	promoter-TSS (ENSMUST00000178888.1)	-promoter-TSS (ENSMUST00000178888.1)	-123	ENSMUST00000178888.1	ENSMUST00000178888	ENSMUST00000178888						NA
H3K27ac_i73_peak_244	chr1	91101711	91102160	+	41	NA	intron (ENSMUST00000189505.6, intron 10 of 12)	-intron (ENSMUST00000068116.12, intron 4 of 12)	-9279	ENSMUST00000188094.6	ENSMUST00000188094	ENSMUST00000188094						NA
H3K27ac_i73_peak_9666	chr8	119427409	119429290	+	41	NA	Intergenic	Intergenic	-5775	ENSMUST00000131448.7	ENSMUST00000131448	ENSMUST00000131448						NA
H3K27ac_i73_peak_5396	chr2	29628225	29629956	+	41	NA	intron (ENSMUST00000147755.9, intron 1 of 24)	-intron (ENSMUST00000091146.11, intron 1 of 25)	9180	ENSMUST00000147755.9	ENSMUST00000147755	ENSMUST00000147755						NA
H3K27ac_i73_peak_1374	chr11	51759858	51760181	+	41	NA	intron (ENSMUST00000154325.1, intron 1 of 2)	-intron (ENSMUST00000154325.1, intron 1 of 2)	-2858	ENSMUST00000147255.1	ENSMUST00000147255	ENSMUST00000147255						NA
H3K27ac_i73_peak_710	chr10	19008112	19008895	+	41	NA	exon (ENSMUST00000154749.1, exon 1 of 2)	-exon (ENSMUST00000154749.1, exon 1 of 2)	342	ENSMUST00000154749.1	ENSMUST00000154749	ENSMUST00000154749						NA
H3K27ac_i73_peak_10292	chr9	110877936	110878288	+	41	NA	intron (ENSMUST00000198062.1, intron 1 of 2)	-intron (ENSMUST00000050958.8, intron 1 of 5)	1193	ENSMUST00000198062.1	ENSMUST00000198062	ENSMUST00000198062						NA
H3K27ac_i73_peak_6816	chr4	117124433	117124986	+	41	NA	exon (ENSMUST00000153257.1, exon 2 of 5)	-exon (ENSMUST00000153257.1, exon 2 of 5)	457	ENSMUST00000123346.1	ENSMUST00000123346	ENSMUST00000123346						NA
H3K27ac_i73_peak_9501	chr8	90892586	90892801	+	41	NA	promoter-TSS (ENSMUST00000211364.1)	-promoter-TSS (ENSMUST00000211364.1)	-462	ENSMUST00000211364.1	ENSMUST00000211364	ENSMUST00000211364						NA
H3K27ac_i73_peak_40	chr1	36271457	36272356	+	41	NA	intron (ENSMUST00000188666.2, intron 3 of 3)	-intron (ENSMUST00000056946.7, intron 1 of 3)	1529	ENSMUST00000056946.7	ENSMUST00000056946	ENSMUST00000056946						NA
H3K27ac_i73_peak_1646	chr11	86586319	86587088	+	41	NA	exon (ENSMUST00000145846.1, exon 1 of 2)	-exon (ENSMUST00000145846.1, exon 1 of 2)	178	ENSMUST00000150176.1	ENSMUST00000150176	ENSMUST00000150176						NA
H3K27ac_i73_peak_5287	chr2	25052367	25052710	+	41	NA	promoter-TSS (ENSMUST00000141584.1)	-promoter-TSS (ENSMUST00000141584.1)	-616	ENSMUST00000141584.1	ENSMUST00000141584	ENSMUST00000141584						NA
H3K27ac_i73_peak_3467	chr15	79323413	79324692	+	41	NA	promoter-TSS (ENSMUST00000173109.1)	-promoter-TSS (ENSMUST00000173109.1)	436	ENSMUST00000172936.1	ENSMUST00000172936	ENSMUST00000172936						NA
H3K27ac_i73_peak_7169	chr4	155250369	155250957	+	41	NA	promoter-TSS (ENSMUST00000156404.1)	-promoter-TSS (ENSMUST00000156404.1)	-33	ENSMUST00000156404.1	ENSMUST00000156404	ENSMUST00000156404						NA
H3K27ac_i73_peak_4563	chr17	87302469	87302708	+	41	NA	intron (ENSMUST00000154255.7, intron 2 of 18)	-intron (ENSMUST00000041110.11, intron 3 of 19)	-6744	ENSMUST00000127970.7	ENSMUST00000127970	ENSMUST00000127970						NA
H3K27ac_i73_peak_1757	chr11	99106359	99106939	+	41	NA	Intergenic	Intergenic	-17343	ENSMUST00000017751.2	ENSMUST00000017751	ENSMUST00000017751						NA
H3K27ac_i73_peak_6	chr1	9631012	9631392	+	41	NA	promoter-TSS (ENSMUST00000115480.7)	-promoter-TSS (ENSMUST00000115480.7)	-27	ENSMUST00000153239.7	ENSMUST00000153239	ENSMUST00000153239						NA
H3K27ac_i73_peak_8458	chr7	19668944	19669681	+	41	NA	Intergenic	Intergenic	-4279	ENSMUST00000055242.10	ENSMUST00000055242	ENSMUST00000055242						NA
H3K27ac_i73_peak_5420	chr2	30690329	30690674	+	41	NA	Intergenic	Intergenic	-12490	ENSMUST00000144704.1	ENSMUST00000144704	ENSMUST00000144704						NA
H3K27ac_i73_peak_8081	chr6	90492438	90492915	+	41	NA	intron (ENSMUST00000127199.1, intron 1 of 2)	-intron (ENSMUST00000127199.1, intron 1 of 2)	6249	ENSMUST00000127199.1	ENSMUST00000127199	ENSMUST00000127199						NA
H3K27ac_i73_peak_8039	chr6	86404416	86404695	+	41	NA	promoter-TSS (ENSMUST00000113708.3)	-promoter-TSS (ENSMUST00000113708.3)	82	ENSMUST00000113708.3	ENSMUST00000113708	ENSMUST00000113708						NA
H3K27ac_i73_peak_8296	chr6	128134134	128135202	+	41	NA	intron (ENSMUST00000154375.7, intron 1 of 6)	-intron (ENSMUST00000032503.11, intron 1 of 8)	2041	ENSMUST00000112171.7	ENSMUST00000112171	ENSMUST00000112171						NA
H3K27ac_i73_peak_7546	chr5	121686701	121686970	+	41	NA	exon (ENSMUST00000031414.14, exon 12 of 12)	-exon (ENSMUST00000031414.14, exon 12 of 12)	3907	ENSMUST00000196897.1	ENSMUST00000196897	ENSMUST00000196897						NA
H3K27ac_i73_peak_3507	chr15	81802829	81803357	+	41	NA	promoter-TSS (ENSMUST00000181220.1)	-promoter-TSS (ENSMUST00000181220.1)	267	ENSMUST00000169952.1	ENSMUST00000169952	ENSMUST00000169952						NA
H3K27ac_i73_peak_8332	chr6	134703022	134703495	+	41	NA	intron (ENSMUST00000204133.1, intron 1 of 2)	-intron (ENSMUST00000062755.9, intron 3 of 3)	1708	ENSMUST00000204133.1	ENSMUST00000204133	ENSMUST00000204133						NA
H3K27ac_i73_peak_5922	chr2	164421338	164421593	+	41	NA	Intergenic	Intergenic	-16305	ENSMUST00000103104.1	ENSMUST00000103104	ENSMUST00000103104						NA
H3K27ac_i73_peak_3985	chr16	57167193	57167473	+	41	NA	promoter-TSS (ENSMUST00000023432.9)	-promoter-TSS (ENSMUST00000023432.9)	-1	ENSMUST00000023432.9	ENSMUST00000023432	ENSMUST00000023432						NA
H3K27ac_i73_peak_3497	chr15	80254787	80254999	+	41	NA	promoter-TSS (ENSMUST00000109605.4)	-promoter-TSS (ENSMUST00000109605.4)	-291	ENSMUST00000109605.4	ENSMUST00000109605	ENSMUST00000109605						NA
H3K27ac_i73_peak_4860	chr18	75495020	75496024	+	41	NA	intron (ENSMUST00000165559.2, intron 9 of 11)	-intron (ENSMUST00000165559.2, intron 9 of 11)	-19123	ENSMUST00000181913.1	ENSMUST00000181913	ENSMUST00000181913						NA
H3K27ac_i73_peak_794	chr10	60816949	60818281	+	41	NA	intron (ENSMUST00000218637.1, intron 1 of 15)	-intron (ENSMUST00000077925.6, intron 1 of 16)	3026	ENSMUST00000218316.1	ENSMUST00000218316	ENSMUST00000218316						NA
H3K27ac_i73_peak_4427-2	chr17	70848756	70849852	+	41	NA	exon (ENSMUST00000125329.1, exon 1 of 2)	-exon (ENSMUST00000125329.1, exon 1 of 2)	340	ENSMUST00000134654.1	ENSMUST00000134654	ENSMUST00000134654						NA
H3K27ac_i73_peak_7211	chr5	24482844	24483657	+	41	NA	TTS (ENSMUST00000199250.1)	-TTS (ENSMUST00000199250.1)	3078	ENSMUST00000199250.1	ENSMUST00000199250	ENSMUST00000199250						NA
H3K27ac_i73_peak_10243	chr9	107576835	107577503	+	41	NA	intron (ENSMUST00000123005.7, intron 1 of 3)	-intron (ENSMUST00000010195.13, intron 1 of 3)	179	ENSMUST00000144392.1	ENSMUST00000144392	ENSMUST00000144392						NA
H3K27ac_i73_peak_4027	chr16	91524117	91524347	+	41	NA	Intergenic	Intergenic	3312	ENSMUST00000183385.1	ENSMUST00000183385	ENSMUST00000183385						NA
H3K27ac_i73_peak_9468-2	chr8	84985639	84986556	+	41	NA	Intergenic	Intergenic	-4506	ENSMUST00000209764.1	ENSMUST00000209764	ENSMUST00000209764						NA
H3K27ac_i73_peak_2710	chr13	100602471	100602725	+	41	NA	intron (ENSMUST00000225754.1, intron 3 of 6)	-intron (ENSMUST00000022137.13, intron 3 of 6)	-1761	ENSMUST00000083744.1	ENSMUST00000083744	ENSMUST00000083744						NA
H3K27ac_i73_peak_10146	chr9	78533277	78533593	+	41	NA	Intergenic	Intergenic	12889	ENSMUST00000214586.1	ENSMUST00000214586	ENSMUST00000214586						NA
H3K27ac_i73_peak_4292	chr17	42912175	42912452	+	41	NA	Intergenic	Intergenic	-35648	ENSMUST00000233195.1	ENSMUST00000233195	ENSMUST00000233195						NA
H3K27ac_i73_peak_1255	chr11	8579631	8580143	+	41	NA	promoter-TSS (ENSMUST00000134823.1)	-promoter-TSS (ENSMUST00000134823.1)	-766	ENSMUST00000134823.1	ENSMUST00000134823	ENSMUST00000134823						NA
H3K27ac_i73_peak_9988	chr9	48797976	48798485	+	41	NA	intron (ENSMUST00000216150.1, intron 2 of 6)	-intron (ENSMUST00000093852.4, intron 2 of 6)	37715	ENSMUST00000093852.4	ENSMUST00000093852	ENSMUST00000093852						NA
H3K27ac_i73_peak_4618	chr18	12644127	12644472	+	41	NA	promoter-TSS (ENSMUST00000234209.1)	-promoter-TSS (ENSMUST00000234209.1)	65	ENSMUST00000234209.1	ENSMUST00000234209	ENSMUST00000234209						NA
H3K27ac_i73_peak_5258-2	chr2	6212201	6213473	+	41	NA	exon (ENSMUST00000042658.4, exon 1 of 5)	-exon (ENSMUST00000042658.4, exon 1 of 5)	142	ENSMUST00000114941.2	ENSMUST00000114941	ENSMUST00000114941						NA
H3K27ac_i73_peak_6431	chr3	122510215	122510722	+	41	NA	promoter-TSS (ENSMUST00000198659.1)	-promoter-TSS (ENSMUST00000198659.1)	-661	ENSMUST00000198659.1	ENSMUST00000198659	ENSMUST00000198659						NA
H3K27ac_i73_peak_1245	chr11	7192729	7193056	+	41	NA	Intergenic	Intergenic	-4323	ENSMUST00000122910.2	ENSMUST00000122910	ENSMUST00000122910						NA
H3K27ac_i73_peak_1812	chr11	104442676	104442988	+	41	NA	promoter-TSS (ENSMUST00000106972.7)	-promoter-TSS (ENSMUST00000106972.7)	-541	ENSMUST00000106977.7	ENSMUST00000106977	ENSMUST00000106977						NA
H3K27ac_i73_peak_1026	chr10	93517791	93518117	+	41	NA	exon (ENSMUST00000129421.7, exon 20 of 20)	-exon (ENSMUST00000129421.7, exon 20 of 20)	16829	ENSMUST00000152883.1	ENSMUST00000152883	ENSMUST00000152883						NA
H3K27ac_i73_peak_7756	chr5	147070810	147071124	+	41	NA	intron (ENSMUST00000016664.7, intron 1 of 9)	-intron (ENSMUST00000016664.7, intron 1 of 9)	5619	ENSMUST00000016664.7	ENSMUST00000016664	ENSMUST00000016664						NA
H3K27ac_i73_peak_8181	chr6	113654200	113654553	+	41	NA	intron (ENSMUST00000089022.8, intron 2 of 11)	-intron (ENSMUST00000059286.13, intron 2 of 12)	-12855	ENSMUST00000203570.1	ENSMUST00000203570	ENSMUST00000203570						NA
H3K27ac_i73_peak_2433	chr13	16282652	16282907	+	41	NA	Intergenic	Intergenic	-4941	ENSMUST00000222297.1	ENSMUST00000222297	ENSMUST00000222297						NA
H3K27ac_i73_peak_9576	chr8	105808577	105808880	+	41	NA	intron (ENSMUST00000212856.1, intron 2 of 2)	-intron (ENSMUST00000041400.5, intron 2 of 13)	18477	ENSMUST00000212856.1	ENSMUST00000212856	ENSMUST00000212856						NA
H3K27ac_i73_peak_6070	chr2	180704715	180705375	+	41	NA	intron (ENSMUST00000103057.7, intron 1 of 14)	-intron (ENSMUST00000103055.7, intron 1 of 5)	-2695	ENSMUST00000103056.9	ENSMUST00000103056	ENSMUST00000103056						NA
H3K27ac_i73_peak_5939	chr2	165397271	165397936	+	41	NA	exon (ENSMUST00000029213.4, exon 2 of 3)	-exon (ENSMUST00000029213.4, exon 2 of 3)	2802	ENSMUST00000029213.4	ENSMUST00000029213	ENSMUST00000029213						NA
H3K27ac_i73_peak_6862	chr4	124703406	124703658	+	41	NA	intron (ENSMUST00000145942.7, intron 1 of 4)	-intron (ENSMUST00000038684.5, intron 1 of 5)	2812	ENSMUST00000038684.5	ENSMUST00000038684	ENSMUST00000038684						NA
H3K27ac_i73_peak_306	chr1	121327193	121327573	+	41	NA	promoter-TSS (ENSMUST00000194699.1)	-promoter-TSS (ENSMUST00000194699.1)	295	ENSMUST00000159085.7	ENSMUST00000159085	ENSMUST00000159085						NA
H3K27ac_i73_peak_997	chr10	87546263	87546467	+	41	NA	promoter-TSS (ENSMUST00000217864.1)	-promoter-TSS (ENSMUST00000217864.1)	-308	ENSMUST00000217864.1	ENSMUST00000217864	ENSMUST00000217864						NA
H3K27ac_i73_peak_4676	chr18	33377050	33377328	+	41	NA	Intergenic	Intergenic	7766	ENSMUST00000237135.1	ENSMUST00000237135	ENSMUST00000237135						NA
H3K27ac_i73_peak_9467	chr8	84984102	84984748	+	41	NA	Intergenic	Intergenic	-5707	ENSMUST00000064922.6	ENSMUST00000064922	ENSMUST00000064922						NA
H3K27ac_i73_peak_3021	chr14	63167151	63167480	+	41	NA	intron (ENSMUST00000224625.1, intron 3 of 9)	-intron (ENSMUST00000054963.9, intron 1 of 7)	-2390	ENSMUST00000238526.1	ENSMUST00000238526	ENSMUST00000238526						NA
H3K27ac_i73_peak_3812	chr16	18424053	18425061	+	41	NA	intron (ENSMUST00000000335.11, intron 1 of 5)	-intron (ENSMUST00000000335.11, intron 1 of 5)	-1827	ENSMUST00000205679.1	ENSMUST00000205679	ENSMUST00000205679						NA
H3K27ac_i73_peak_6105	chr3	27228125	27228594	+	41	NA	intron (ENSMUST00000091284.4, intron 3 of 4)	-intron (ENSMUST00000046515.14, intron 3 of 4)	39918	ENSMUST00000140872.1	ENSMUST00000140872	ENSMUST00000140872						NA
H3K27ac_i73_peak_8806	chr7	80060159	80060674	+	41	NA	intron (ENSMUST00000206104.1, intron 1 of 1)	-intron (ENSMUST00000049680.9, intron 1 of 4)	14831	ENSMUST00000206111.1	ENSMUST00000206111	ENSMUST00000206111						NA
H3K27ac_i73_peak_7558	chr5	122707973	122708173	+	41	NA	exon (ENSMUST00000195963.1, exon 1 of 1)	-exon (ENSMUST00000195963.1, exon 1 of 1)	419	ENSMUST00000139631.7	ENSMUST00000139631	ENSMUST00000139631						NA
H3K27ac_i73_peak_3730	chr15	103363006	103363280	+	41	NA	intron (ENSMUST00000215331.1, intron 1 of 30)	-intron (ENSMUST00000023128.7, intron 1 of 29)	3605	ENSMUST00000215331.1	ENSMUST00000215331	ENSMUST00000215331						NA
H3K27ac_i73_peak_7125	chr4	150572290	150572571	+	41	NA	intron (ENSMUST00000105682.8, intron 12 of 22)	-intron (ENSMUST00000105680.8, intron 6 of 16)	2773	ENSMUST00000137112.1	ENSMUST00000137112	ENSMUST00000137112						NA
H3K27ac_i73_peak_3827	chr16	22880783	22880993	+	41	NA	intron (ENSMUST00000231692.1, intron 3 of 3)	-intron (ENSMUST00000231692.1, intron 3 of 3)	-10389	ENSMUST00000231848.1	ENSMUST00000231848	ENSMUST00000231848						NA
H3K27ac_i73_peak_2385	chr12	112588347	112588602	+	41	NA	promoter-TSS (ENSMUST00000101029.3)	-promoter-TSS (ENSMUST00000101029.3)	-310	ENSMUST00000101029.3	ENSMUST00000101029	ENSMUST00000101029						NA
H3K27ac_i73_peak_9530	chr8	94375636	94375916	+	41	NA	Intergenic	Intergenic	-2096	ENSMUST00000212669.1	ENSMUST00000212669	ENSMUST00000212669						NA
H3K27ac_i73_peak_1548	chr11	74829766	74830097	+	41	NA	promoter-TSS (ENSMUST00000000291.8)	-promoter-TSS (ENSMUST00000000291.8)	-989	ENSMUST00000000291.8	ENSMUST00000000291	ENSMUST00000000291						NA
H3K27ac_i73_peak_6818	chr4	117125965	117126432	+	41	NA	promoter-TSS (ENSMUST00000062206.2)	-promoter-TSS (ENSMUST00000062206.2)	-473	ENSMUST00000143213.8	ENSMUST00000143213	ENSMUST00000143213						NA
H3K27ac_i73_peak_8590	chr7	31054014	31055788	+	41	NA	promoter-TSS (ENSMUST00000071697.10)	-promoter-TSS (ENSMUST00000071697.10)	-82	ENSMUST00000071697.10	ENSMUST00000071697	ENSMUST00000071697						NA
H3K27ac_i73_peak_6274	chr3	95139625	95140177	+	41	NA	promoter-TSS (ENSMUST00000184238.1)	-promoter-TSS (ENSMUST00000184238.1)	-715	ENSMUST00000184238.1	ENSMUST00000184238	ENSMUST00000184238						NA
H3K27ac_i73_peak_1737	chr11	98782680	98783743	+	41	NA	Intergenic	Intergenic	-7878	ENSMUST00000064941.6	ENSMUST00000064941	ENSMUST00000064941						NA
H3K27ac_i73_peak_5258	chr2	6212201	6213473	+	41	NA	exon (ENSMUST00000042658.4, exon 1 of 5)	-exon (ENSMUST00000042658.4, exon 1 of 5)	142	ENSMUST00000114941.2	ENSMUST00000114941	ENSMUST00000114941						NA
H3K27ac_i73_peak_5466	chr2	32700847	32701645	+	41	NA	intron (ENSMUST00000146498.7, intron 2 of 9)	-intron (ENSMUST00000127812.2, intron 2 of 8)	2785	ENSMUST00000143743.1	ENSMUST00000143743	ENSMUST00000143743						NA
H3K27ac_i73_peak_1134	chr10	127370008	127370611	+	41	NA	TTS (ENSMUST00000219640.1)	-TTS (ENSMUST00000219640.1)	122	ENSMUST00000026472.9	ENSMUST00000026472	ENSMUST00000026472						NA
H3K27ac_i73_peak_2780	chr14	16249281	16249810	+	41	NA	promoter-TSS (ENSMUST00000112624.2)	-promoter-TSS (ENSMUST00000112624.2)	218	ENSMUST00000224154.1	ENSMUST00000224154	ENSMUST00000224154						NA
H3K27ac_i73_peak_626	chr1	190048588	190049260	+	41	NA	Intergenic	Intergenic	-119746	ENSMUST00000189880.1	ENSMUST00000189880	ENSMUST00000189880						NA
H3K27ac_i73_peak_6838	chr4	118272206	118272726	+	41	NA	intron (ENSMUST00000222620.1, intron 3 of 9)	-intron (ENSMUST00000049074.12, intron 3 of 32)	18808	ENSMUST00000222620.1	ENSMUST00000222620	ENSMUST00000222620						NA
H3K27ac_i73_peak_5052	chr19	23141776	23142349	+	41	NA	exon (ENSMUST00000036884.2, exon 1 of 2)	-exon (ENSMUST00000036884.2, exon 1 of 2)	836	ENSMUST00000036884.2	ENSMUST00000036884	ENSMUST00000036884						NA
H3K27ac_i73_peak_7762	chr5	148978531	148978824	+	41	NA	intron (ENSMUST00000202229.1, intron 1 of 1)	-intron (ENSMUST00000133694.1, intron 1 of 1)	2416	ENSMUST00000134031.1	ENSMUST00000134031	ENSMUST00000134031						NA
H3K27ac_i73_peak_6972	chr4	137769552	137770161	+	41	NA	promoter-TSS (ENSMUST00000133566.7)	-promoter-TSS (ENSMUST00000133566.7)	-36	ENSMUST00000143757.1	ENSMUST00000143757	ENSMUST00000143757						NA
H3K27ac_i73_peak_2945	chr14	45419389	45419604	+	41	NA	exon (ENSMUST00000228311.1, exon 12 of 13)	-exon (ENSMUST00000228311.1, exon 12 of 13)	-14536	ENSMUST00000179366.1	ENSMUST00000179366	ENSMUST00000179366						NA
H3K27ac_i73_peak_4073	chr17	5217110	5217460	+	41	NA	intron (ENSMUST00000232180.1, intron 4 of 19)	-intron (ENSMUST00000092723.10, intron 4 of 18)	-105175	ENSMUST00000122283.2	ENSMUST00000122283	ENSMUST00000122283						NA
H3K27ac_i73_peak_9468	chr8	84985639	84986556	+	41	NA	Intergenic	Intergenic	-4506	ENSMUST00000209764.1	ENSMUST00000209764	ENSMUST00000209764						NA
H3K27ac_i73_peak_1536	chr11	72437355	72437677	+	41	NA	exon (ENSMUST00000076443.9, exon 4 of 4)	-exon (ENSMUST00000076443.9, exon 4 of 4)	1902	ENSMUST00000100903.2	ENSMUST00000100903	ENSMUST00000100903						NA
H3K27ac_i73_peak_9347	chr8	46876008	46876316	+	41	NA	Intergenic	Intergenic	-42250	ENSMUST00000209717.1	ENSMUST00000209717	ENSMUST00000209717						NA
H3K27ac_i73_peak_6760	chr4	104818746	104819324	+	41	NA	intron (ENSMUST00000106808.9, intron 9 of 9)	-intron (ENSMUST00000048947.14, intron 10 of 11)	19827	ENSMUST00000123892.1	ENSMUST00000123892	ENSMUST00000123892						NA
H3K27ac_i73_peak_4427	chr17	70848756	70849852	+	41	NA	exon (ENSMUST00000125329.1, exon 1 of 2)	-exon (ENSMUST00000125329.1, exon 1 of 2)	340	ENSMUST00000134654.1	ENSMUST00000134654	ENSMUST00000134654						NA
H3K27ac_i73_peak_5359	chr2	27582928	27583463	+	41	NA	Intergenic	Intergenic	42766	ENSMUST00000132898.1	ENSMUST00000132898	ENSMUST00000132898						NA
H3K27ac_i73_peak_8075	chr6	90436140	90436469	+	41	NA	Intergenic	Intergenic	-7507	ENSMUST00000134224.7	ENSMUST00000134224	ENSMUST00000134224						NA
H3K27ac_i73_peak_9558	chr8	95377777	95378535	+	41	NA	Intergenic	Intergenic	8285	ENSMUST00000212235.1	ENSMUST00000212235	ENSMUST00000212235						NA
H3K27ac_i73_peak_8011	chr6	82070565	82071265	+	41	NA	intron (ENSMUST00000149023.1, intron 1 of 2)	-intron (ENSMUST00000042974.14, intron 1 of 2)	-18334	ENSMUST00000145950.1	ENSMUST00000145950	ENSMUST00000145950						NA
H3K27ac_i73_peak_8728	chr7	64057978	64058178	+	41	NA	intron (ENSMUST00000206468.1, intron 1 of 2)	-intron (ENSMUST00000206468.1, intron 1 of 2)	476	ENSMUST00000206468.1	ENSMUST00000206468	ENSMUST00000206468						NA
H3K27ac_i73_peak_977	chr10	81433708	81434882	+	41	NA	intron (ENSMUST00000221817.1, intron 1 of 9)	-intron (ENSMUST00000221817.1, intron 1 of 9)	-3290	ENSMUST00000117966.1	ENSMUST00000117966	ENSMUST00000117966						NA
H3K27ac_i73_peak_4247	chr17	33908766	33909254	+	41	NA	promoter-TSS (ENSMUST00000079421.14)	-promoter-TSS (ENSMUST00000079421.14)	168	ENSMUST00000172526.2	ENSMUST00000172526	ENSMUST00000172526						NA
H3K27ac_i73_peak_6968	chr4	137373731	137373982	+	41	NA	Intergenic	Intergenic	14526	ENSMUST00000189334.1	ENSMUST00000189334	ENSMUST00000189334						NA
H3K27ac_i73_peak_9555	chr8	95359057	95359294	+	41	NA	intron (ENSMUST00000034243.6, intron 1 of 9)	-intron (ENSMUST00000034243.6, intron 1 of 9)	6907	ENSMUST00000034243.6	ENSMUST00000034243	ENSMUST00000034243						NA
H3K27ac_i73_peak_8880	chr7	97082804	97083046	+	41	NA	intron (ENSMUST00000206791.1, intron 1 of 9)	-intron (ENSMUST00000004622.6, intron 1 of 9)	1149	ENSMUST00000206791.1	ENSMUST00000206791	ENSMUST00000206791						NA
H3K27ac_i73_peak_681	chr1	193311468	193311899	+	41	NA	intron (ENSMUST00000194677.5, intron 7 of 26)	-intron (ENSMUST00000016315.15, intron 3 of 22)	-9012	ENSMUST00000161526.2	ENSMUST00000161526	ENSMUST00000161526						NA
H3K27ac_i73_peak_9509	chr8	91392321	91392528	+	41	NA	promoter-TSS (ENSMUST00000209572.1)	-promoter-TSS (ENSMUST00000209572.1)	-479	ENSMUST00000209572.1	ENSMUST00000209572	ENSMUST00000209572						NA
H3K27ac_i73_peak_8078	chr6	90466152	90467656	+	41	NA	promoter-TSS (ENSMUST00000205136.1)	-promoter-TSS (ENSMUST00000205136.1)	-214	ENSMUST00000205136.1	ENSMUST00000205136	ENSMUST00000205136						NA
H3K27ac_i73_peak_6791	chr4	108165189	108165955	+	41	NA	promoter-TSS (ENSMUST00000116307.7)	-promoter-TSS (ENSMUST00000116307.7)	54	ENSMUST00000116307.7	ENSMUST00000116307	ENSMUST00000116307						NA
H3K27ac_i73_peak_7731	chr5	142909213	142910276	+	41	NA	Intergenic	Intergenic	-2990	ENSMUST00000100497.10	ENSMUST00000100497	ENSMUST00000100497						NA
